Reservoir_name,Basin,Agency_name,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
Hirakud Reservoir,Mahanadi Basin,CWC,21.63383268,83.80547031,15-02-2025,2025,2,192.02,5.378,NA,NA
Hirakud Reservoir,Mahanadi Basin,CWC,21.63383268,83.80547031,21-02-2025,2025,2,192.02,5.378,NA,NA
Hirakud Reservoir,Mahanadi Basin,CWC,21.63383268,83.80547031,27-02-2025,2025,2,192.02,5.378,3.05281,189.05
Hirakud Reservoir,Mahanadi Basin,CWC,21.63383268,83.80547031,28-02-2025,2025,2,192.02,5.378,NA,NA
Idamalayar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,10.24545527,76.74690313,06-02-2025,2025,2,169,1.018,0.65196,155.829
Idamalayar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,10.24545527,76.74690313,08-02-2025,2025,2,169,1.018,0.6465,155.597
Idamalayar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,10.24545527,76.74690313,21-02-2025,2025,2,169,1.018,0.59097,153.26
Idamalayar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,10.24545527,76.74690313,25-02-2025,2025,2,169,1.018,0.57579,152.61
Idamalayar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,10.24545527,76.74690313,28-02-2025,2025,2,169,1.018,NA,NA
Idukki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,9.78847361,76.97474677,05-02-2025,2025,2,732.43,1.46,0.94278,722.559
Idukki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,9.78847361,76.97474677,12-02-2025,2025,2,732.43,1.46,0.9175,722.016
Idukki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,9.78847361,76.97474677,23-02-2025,2025,2,732.43,1.46,0.8641,720.87
Idukki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,9.78847361,76.97474677,25-02-2025,2025,2,732.43,1.46,0.85785,720.736
Idukki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,9.78847361,76.97474677,26-02-2025,2025,2,732.43,1.46,0.8536,720.645
Idukki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,9.78847361,76.97474677,28-02-2025,2025,2,732.43,1.46,NA,NA
Indira Sagar,Narmada Basin,CWC,22.19722862,76.65599861,04-02-2025,2025,2,262.13,9.745,NA,NA
Indira Sagar,Narmada Basin,CWC,22.19722862,76.65599861,11-02-2025,2025,2,262.13,9.745,NA,NA
Indira Sagar,Narmada Basin,CWC,22.19722862,76.65599861,14-02-2025,2025,2,262.13,9.745,NA,NA
Indira Sagar,Narmada Basin,CWC,22.19722862,76.65599861,17-02-2025,2025,2,262.13,9.745,NA,NA
Isapur Reservoir,Godavari Basin,CWC,19.77413873,77.37657599,06-02-2025,2025,2,441,0.965,0.792,439.115
Isapur Reservoir,Godavari Basin,CWC,19.77413873,77.37657599,09-02-2025,2025,2,441,0.965,0.77999,438.975
Isapur Reservoir,Godavari Basin,CWC,19.77413873,77.37657599,14-02-2025,2025,2,441,0.965,0.75968,438.735
Isapur Reservoir,Godavari Basin,CWC,19.77413873,77.37657599,18-02-2025,2025,2,441,0.965,0.71847,438.555
Isapur Reservoir,Godavari Basin,CWC,19.77413873,77.37657599,22-02-2025,2025,2,441,0.965,0.70753,438.425
JAISAMAND,Mahi Basin,CWC,24.2416667,73.9527778,03-02-2025,2025,2,295.54,0.296,NA,NA
JAISAMAND,Mahi Basin,CWC,24.2416667,73.9527778,05-02-2025,2025,2,295.54,0.296,NA,NA
JAISAMAND,Mahi Basin,CWC,24.2416667,73.9527778,11-02-2025,2025,2,295.54,0.296,NA,NA
JAISAMAND,Mahi Basin,CWC,24.2416667,73.9527778,15-02-2025,2025,2,295.54,0.296,NA,NA
JAISAMAND,Mahi Basin,CWC,24.2416667,73.9527778,20-02-2025,2025,2,295.54,0.296,0.08467,290.46
JAISAMAND,Mahi Basin,CWC,24.2416667,73.9527778,23-02-2025,2025,2,295.54,0.296,NA,NA
JAWAI DAM,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,25.1111111,73.1611111,02-02-2025,2025,2,313.4,0.193,NA,NA
JAWAI DAM,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,25.1111111,73.1611111,15-02-2025,2025,2,313.4,0.193,NA,NA
JAWAI DAM,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,25.1111111,73.1611111,18-02-2025,2025,2,313.4,0.193,NA,NA
JAWAI DAM,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,25.1111111,73.1611111,22-02-2025,2025,2,313.4,0.193,NA,NA
JAWAI DAM,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,25.1111111,73.1611111,23-02-2025,2025,2,313.4,0.193,NA,NA
JAWAI DAM,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,25.1111111,73.1611111,24-02-2025,2025,2,313.4,0.193,NA,NA
Jayakwadi\Nath Sagar,Godavari Basin,CWC,19.52917218,75.24566805,02-02-2025,2025,2,463.91,2.171,NA,NA
Jayakwadi\Nath Sagar,Godavari Basin,CWC,19.52917218,75.24566805,16-02-2025,2025,2,463.91,2.171,NA,NA
Jayakwadi\Nath Sagar,Godavari Basin,CWC,19.52917218,75.24566805,17-02-2025,2025,2,463.91,2.171,NA,NA
Jayakwadi\Nath Sagar,Godavari Basin,CWC,19.52917218,75.24566805,18-02-2025,2025,2,463.91,2.171,NA,NA
Jayakwadi\Nath Sagar,Godavari Basin,CWC,19.52917218,75.24566805,24-02-2025,2025,2,463.91,2.171,NA,NA
Jhakam Reservoir,Mahi Basin,CWC,24.16180454,74.62252237,01-02-2025,2025,2,359.5,0.132,0.0563,350.3
Jhakam Reservoir,Mahi Basin,CWC,24.16180454,74.62252237,02-02-2025,2025,2,359.5,0.132,0.0563,350.3
Jhakam Reservoir,Mahi Basin,CWC,24.16180454,74.62252237,06-02-2025,2025,2,359.5,0.132,0.0563,350.3
Jhakam Reservoir,Mahi Basin,CWC,24.16180454,74.62252237,07-02-2025,2025,2,359.5,0.132,0.0563,350.3
Jhakam Reservoir,Mahi Basin,CWC,24.16180454,74.62252237,12-02-2025,2025,2,359.5,0.132,0.0487,349
Jhakam Reservoir,Mahi Basin,CWC,24.16180454,74.62252237,20-02-2025,2025,2,359.5,0.132,0.041,347.4
Jirgo Dam,Ganga Basin,CWC,25.0267409,82.9311989,01-02-2025,2025,2,98.2,0.147,0.04165,91.46
Jirgo Dam,Ganga Basin,CWC,25.0267409,82.9311989,09-02-2025,2025,2,98.2,0.147,0.0426,91.55
Jirgo Dam,Ganga Basin,CWC,25.0267409,82.9311989,11-02-2025,2025,2,98.2,0.147,0.04291,91.58
Jirgo Dam,Ganga Basin,CWC,25.0267409,82.9311989,14-02-2025,2025,2,98.2,0.147,0.04197,91.49
Jirgo Dam,Ganga Basin,CWC,25.0267409,82.9311989,20-02-2025,2025,2,98.2,0.147,0.03809,91
Jirgo Dam,Ganga Basin,CWC,25.0267409,82.9311989,23-02-2025,2025,2,98.2,0.147,0.03762,90.94
Jirgo Dam,Ganga Basin,CWC,25.0267409,82.9311989,24-02-2025,2025,2,98.2,0.147,0.03739,90.91
KADDAM (K.N.R.),Godavari Basin,CWC,19.11666667,78.78333333,05-02-2025,2025,2,213.36,0.137,0.113,210.518
KADDAM (K.N.R.),Godavari Basin,CWC,19.11666667,78.78333333,06-02-2025,2025,2,213.36,0.137,0.113,210.457
KADDAM (K.N.R.),Godavari Basin,CWC,19.11666667,78.78333333,14-02-2025,2025,2,213.36,0.137,0.113,210.076
KADDAM (K.N.R.),Godavari Basin,CWC,19.11666667,78.78333333,16-02-2025,2025,2,213.36,0.137,0.113,210.045
KADDAM (K.N.R.),Godavari Basin,CWC,19.11666667,78.78333333,18-02-2025,2025,2,213.36,0.137,0.113,210.015
KADDAM (K.N.R.),Godavari Basin,CWC,19.11666667,78.78333333,19-02-2025,2025,2,213.36,0.137,0.113,209.992
KADDAM (K.N.R.),Godavari Basin,CWC,19.11666667,78.78333333,20-02-2025,2025,2,213.36,0.137,0.113,209.977
KADDAM (K.N.R.),Godavari Basin,CWC,19.11666667,78.78333333,22-02-2025,2025,2,213.36,0.137,0.113,209.885
KADDAM (K.N.R.),Godavari Basin,CWC,19.11666667,78.78333333,26-02-2025,2025,2,213.36,0.137,0.13623,209.619
KANDALERU,East flowing rivers between Pennar and Kanyakumari Basin,CWC,14.3333333,79.6166667,05-02-2025,2025,2,85,1.792,1.26936,82.055
KANDALERU,East flowing rivers between Pennar and Kanyakumari Basin,CWC,14.3333333,79.6166667,07-02-2025,2025,2,85,1.792,1.26313,82.003
KANDALERU,East flowing rivers between Pennar and Kanyakumari Basin,CWC,14.3333333,79.6166667,13-02-2025,2025,2,85,1.792,1.2467,81.863
KANDALERU,East flowing rivers between Pennar and Kanyakumari Basin,CWC,14.3333333,79.6166667,14-02-2025,2025,2,85,1.792,1.24415,81.845
KANDALERU,East flowing rivers between Pennar and Kanyakumari Basin,CWC,14.3333333,79.6166667,19-02-2025,2025,2,85,1.792,1.22886,81.714
KANDALERU,East flowing rivers between Pennar and Kanyakumari Basin,CWC,14.3333333,79.6166667,25-02-2025,2025,2,85,1.792,1.21017,81.555
KANDALERU,East flowing rivers between Pennar and Kanyakumari Basin,CWC,14.3333333,79.6166667,27-02-2025,2025,2,85,1.792,1.20309,81.494
KHANDONG,Brahmaputra Basin,CWC,25.528424,92.632903,07-02-2025,2025,2,725,0.18,0.07623,717.15
KHANDONG,Brahmaputra Basin,CWC,25.528424,92.632903,22-02-2025,2025,2,725,0.18,0.05122,714.35
Kabini Reservoir,Cauvery Basin,CWC,11.95500864,76.2867207,07-02-2025,2025,2,696.66,0.444,0.35267,694.545
Kabini Reservoir,Cauvery Basin,CWC,11.95500864,76.2867207,12-02-2025,2025,2,696.66,0.444,0.34638,694.423
Kabini Reservoir,Cauvery Basin,CWC,11.95500864,76.2867207,15-02-2025,2025,2,696.66,0.444,0.33522,694.206
Kabini Reservoir,Cauvery Basin,CWC,11.95500864,76.2867207,21-02-2025,2025,2,696.66,0.444,0.31095,693.731
Kabini Reservoir,Cauvery Basin,CWC,11.95500864,76.2867207,23-02-2025,2025,2,696.66,0.444,0.30693,693.652
Kabini Reservoir,Cauvery Basin,CWC,11.95500864,76.2867207,24-02-2025,2025,2,696.66,0.444,0.30693,693.612
Kadana Reservoir,Mahi Basin,CWC,23.34196607,73.89320231,04-02-2025,2025,2,127.7,1.472,0.9096,124.84
Kadana Reservoir,Mahi Basin,CWC,23.34196607,73.89320231,09-02-2025,2025,2,127.7,1.472,0.88693,124.59
Kadana Reservoir,Mahi Basin,CWC,23.34196607,73.89320231,11-02-2025,2025,2,127.7,1.472,0.87603,124.46
Kadana Reservoir,Mahi Basin,CWC,23.34196607,73.89320231,19-02-2025,2025,2,127.7,1.472,0.83681,124
Kadana Reservoir,Mahi Basin,CWC,23.34196607,73.89320231,26-02-2025,2025,2,127.7,1.472,0.80648,123.67
Kadana Reservoir,Mahi Basin,CWC,23.34196607,73.89320231,27-02-2025,2025,2,127.7,1.472,0.80435,123.62
Kakki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,9.30465879,77.16754045,01-02-2025,2025,2,981.46,0.447,0.2809,970.724
Kakki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,9.30465879,77.16754045,07-02-2025,2025,2,981.46,0.447,0.27467,969.575
Kakki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,9.30465879,77.16754045,17-02-2025,2025,2,981.46,0.447,0.25712,968.078
Kallada Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,8.92000098,77.12459672,01-02-2025,2025,2,115.82,0.507,0.40818,112.27
Kallada Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,8.92000098,77.12459672,03-02-2025,2025,2,115.82,0.507,0.404,112.051
Kallada Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,8.92000098,77.12459672,09-02-2025,2025,2,115.82,0.507,0.38852,111.34
Kallada Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,8.92000098,77.12459672,10-02-2025,2025,2,115.82,0.507,0.38566,111.209
Kallada Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,8.92000098,77.12459672,13-02-2025,2025,2,115.82,0.507,0.3783,110.85
Kallada Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,8.92000098,77.12459672,20-02-2025,2025,2,115.82,0.507,0.36144,109.92
Kallada Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,8.92000098,77.12459672,21-02-2025,2025,2,115.82,0.507,0.35844,109.768
Kallada Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,8.92000098,77.12459672,27-02-2025,2025,2,115.82,0.507,0.34344,109.323
Kangsabati Reservoir,Ganga Basin,CWC,22.97855586,86.72104725,07-02-2025,2025,2,134.14,0.914,0.555,129.66
Kangsabati Reservoir,Ganga Basin,CWC,22.97855586,86.72104725,25-02-2025,2025,2,134.14,0.914,0.463,128.44
Kangsabati Reservoir,Ganga Basin,CWC,22.97855586,86.72104725,26-02-2025,2025,2,134.14,0.914,0.462,128.43
Kangsabati Reservoir,Ganga Basin,CWC,22.97855586,86.72104725,27-02-2025,2025,2,134.14,0.914,0.462,128.43
Kanher Dam,Krishna Basin,CWC,17.758849,73.872011,02-02-2025,2025,2,690.78,0.272,NA,NA
Kanher Dam,Krishna Basin,CWC,17.758849,73.872011,13-02-2025,2025,2,690.78,0.272,0.20815,687.08
Kanher Dam,Krishna Basin,CWC,17.758849,73.872011,21-02-2025,2025,2,690.78,0.272,NA,NA
Kanher Dam,Krishna Basin,CWC,17.758849,73.872011,23-02-2025,2025,2,690.78,0.272,NA,NA
Kanher Dam,Krishna Basin,CWC,17.758849,73.872011,26-02-2025,2025,2,690.78,0.272,NA,NA
Kanher Dam,Krishna Basin,CWC,17.758849,73.872011,27-02-2025,2025,2,690.78,0.272,0.19106,685.98
Karjan Reservoir,Narmada Basin,CWC,21.77573622,73.53228855,02-02-2025,2025,2,115.25,0.523,NA,NA
Karjan Reservoir,Narmada Basin,CWC,21.77573622,73.53228855,17-02-2025,2025,2,115.25,0.523,NA,NA
Karjan Reservoir,Narmada Basin,CWC,21.77573622,73.53228855,19-02-2025,2025,2,115.25,0.523,NA,NA
Karjan Reservoir,Narmada Basin,CWC,21.77573622,73.53228855,22-02-2025,2025,2,115.25,0.523,NA,NA
Khadakwasla Reservoir,Krishna Basin,CWC,18.4148564,73.73248902,02-02-2025,2025,2,582.47,0.06,0.0297,580.4
Khadakwasla Reservoir,Krishna Basin,CWC,18.4148564,73.73248902,08-02-2025,2025,2,582.47,0.06,0.02556,580.03
Khadakwasla Reservoir,Krishna Basin,CWC,18.4148564,73.73248902,19-02-2025,2025,2,582.47,0.06,0.02293,579.79
Khadakwasla Reservoir,Krishna Basin,CWC,18.4148564,73.73248902,20-02-2025,2025,2,582.47,0.06,0.02293,579.79
Khadakwasla Reservoir,Krishna Basin,CWC,18.4148564,73.73248902,25-02-2025,2025,2,582.47,0.06,0.03007,580.43
Khadakwasla Reservoir,Krishna Basin,CWC,18.4148564,73.73248902,26-02-2025,2025,2,582.47,0.06,0.03213,580.61
Khadakwasla Reservoir,Krishna Basin,CWC,18.4148564,73.73248902,27-02-2025,2025,2,582.47,0.06,0.03369,580.74
Kol Dam,Indus (Up to border) Basin,CWC,31.383056,76.868917,02-02-2025,2025,2,642,0.089,0.07845,641.31
Kol Dam,Indus (Up to border) Basin,CWC,31.383056,76.868917,05-02-2025,2025,2,642,0.089,0.07653,641.18
Kol Dam,Indus (Up to border) Basin,CWC,31.383056,76.868917,07-02-2025,2025,2,642,0.089,0.07505,641.08
Kol Dam,Indus (Up to border) Basin,CWC,31.383056,76.868917,09-02-2025,2025,2,642,0.089,0.07387,641
Kol Dam,Indus (Up to border) Basin,CWC,31.383056,76.868917,14-02-2025,2025,2,642,0.089,0.07564,641.12
Kol Dam,Indus (Up to border) Basin,CWC,31.383056,76.868917,17-02-2025,2025,2,642,0.089,0.0786,641.32
Kol Dam,Indus (Up to border) Basin,CWC,31.383056,76.868917,21-02-2025,2025,2,642,0.089,0.0783,641.3
Kolar,Narmada Basin,CWC,22.95433708,77.29432532,07-02-2025,2025,2,462.2,0.27,NA,NA
Kolar,Narmada Basin,CWC,22.95433708,77.29432532,09-02-2025,2025,2,462.2,0.27,NA,NA
Kolar,Narmada Basin,CWC,22.95433708,77.29432532,15-02-2025,2025,2,462.2,0.27,NA,NA
Kolar,Narmada Basin,CWC,22.95433708,77.29432532,18-02-2025,2025,2,462.2,0.27,NA,NA
Kolar,Narmada Basin,CWC,22.95433708,77.29432532,21-02-2025,2025,2,462.2,0.27,NA,NA
Kolar,Narmada Basin,CWC,22.95433708,77.29432532,23-02-2025,2025,2,462.2,0.27,NA,NA
Kolar,Narmada Basin,CWC,22.95433708,77.29432532,28-02-2025,2025,2,462.2,0.27,NA,NA
Konar Reservoir,Ganga Basin,CWC,23.94457917,85.74669073,12-02-2025,2025,2,425.81,0.176,0.113,422.041
Konar Reservoir,Ganga Basin,CWC,23.94457917,85.74669073,13-02-2025,2025,2,425.81,0.176,0.112,421.996
Konar Reservoir,Ganga Basin,CWC,23.94457917,85.74669073,15-02-2025,2025,2,425.81,0.176,0.111,421.919
Konar Reservoir,Ganga Basin,CWC,23.94457917,85.74669073,21-02-2025,2025,2,425.81,0.176,0.106,421.584
Konar Reservoir,Ganga Basin,CWC,23.94457917,85.74669073,28-02-2025,2025,2,425.81,0.176,NA,NA
Koyana/Shivaji Sagar,Krishna Basin,CWC,17.59996426,73.74860196,02-02-2025,2025,2,657.9,2.652,2.2619,654.329
Koyana/Shivaji Sagar,Krishna Basin,CWC,17.59996426,73.74860196,03-02-2025,2025,2,657.9,2.652,2.25558,654.253
Koyana/Shivaji Sagar,Krishna Basin,CWC,17.59996426,73.74860196,07-02-2025,2025,2,657.9,2.652,2.21971,653.821
Koyana/Shivaji Sagar,Krishna Basin,CWC,17.59996426,73.74860196,08-02-2025,2025,2,657.9,2.652,2.21127,653.72
Koyana/Shivaji Sagar,Krishna Basin,CWC,17.59996426,73.74860196,13-02-2025,2025,2,657.9,2.652,2.16485,653.161
Koyana/Shivaji Sagar,Krishna Basin,CWC,17.59996426,73.74860196,21-02-2025,2025,2,657.9,2.652,2.08891,652.247
Koyana/Shivaji Sagar,Krishna Basin,CWC,17.59996426,73.74860196,27-02-2025,2025,2,657.9,2.652,2.02992,651.535
Krishnaraja Sagar,Cauvery Basin,CWC,12.46102452,76.48916788,05-02-2025,2025,2,752.5,1.163,0.9526,750.786
Krishnaraja Sagar,Cauvery Basin,CWC,12.46102452,76.48916788,11-02-2025,2025,2,752.5,1.163,0.92023,750.503
Krishnaraja Sagar,Cauvery Basin,CWC,12.46102452,76.48916788,19-02-2025,2025,2,752.5,1.163,0.83544,749.731
Krishnaraja Sagar,Cauvery Basin,CWC,12.46102452,76.48916788,21-02-2025,2025,2,752.5,1.163,0.81567,749.546
Linganamakki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,14.03563915,74.92879915,03-02-2025,2025,2,554.43,4.294,2.71557,547.2
Linganamakki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,14.03563915,74.92879915,04-02-2025,2025,2,554.43,4.294,2.6987,548.56
Linganamakki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,14.03563915,74.92879915,05-02-2025,2025,2,554.43,4.294,2.68187,548.488
Lower Bhawani \ Bhavanisagar Reservoir,Cauvery Basin,CWC,11.44347832,77.06863102,09-02-2025,2025,2,278.89,0.792,0.65943,276.621
Lower Bhawani \ Bhavanisagar Reservoir,Cauvery Basin,CWC,11.44347832,77.06863102,10-02-2025,2025,2,278.89,0.792,0.6521,276.505
Lower Bhawani \ Bhavanisagar Reservoir,Cauvery Basin,CWC,11.44347832,77.06863102,18-02-2025,2025,2,278.89,0.792,0.59435,275.561
Lower Bhawani \ Bhavanisagar Reservoir,Cauvery Basin,CWC,11.44347832,77.06863102,21-02-2025,2025,2,278.89,0.792,0.58107,275.335
Lower Bhawani \ Bhavanisagar Reservoir,Cauvery Basin,CWC,11.44347832,77.06863102,23-02-2025,2025,2,278.89,0.792,0.57767,275.277
Lower Manair\G.V.Sudhakar Rao Reservoir,Godavari Basin,CWC,18.38429509,79.10782049,03-02-2025,2025,2,280.42,0.621,0.44321,277.094
Lower Manair\G.V.Sudhakar Rao Reservoir,Godavari Basin,CWC,18.38429509,79.10782049,05-02-2025,2025,2,280.42,0.621,0.43568,276.972
Lower Manair\G.V.Sudhakar Rao Reservoir,Godavari Basin,CWC,18.38429509,79.10782049,06-02-2025,2025,2,280.42,0.621,0.43098,276.896
Lower Manair\G.V.Sudhakar Rao Reservoir,Godavari Basin,CWC,18.38429509,79.10782049,12-02-2025,2025,2,280.42,0.621,0.40889,276.53
Lower Manair\G.V.Sudhakar Rao Reservoir,Godavari Basin,CWC,18.38429509,79.10782049,13-02-2025,2025,2,280.42,0.621,0.40524,276.469
Lower Manair\G.V.Sudhakar Rao Reservoir,Godavari Basin,CWC,18.38429509,79.10782049,16-02-2025,2025,2,280.42,0.621,0.3919,276.24
Lower Manair\G.V.Sudhakar Rao Reservoir,Godavari Basin,CWC,18.38429509,79.10782049,20-02-2025,2025,2,280.42,0.621,0.37446,275.935
MANDIRA DAM,Brahmani and Baitarni Basin,CWC,22.2666667,84.6666667,09-02-2025,2025,2,210.31,0.309,NA,NA
MANDIRA DAM,Brahmani and Baitarni Basin,CWC,22.2666667,84.6666667,15-02-2025,2025,2,210.31,0.309,0.2465,209.85
MANDIRA DAM,Brahmani and Baitarni Basin,CWC,22.2666667,84.6666667,17-02-2025,2025,2,210.31,0.309,0.2447,209.79
MANDIRA DAM,Brahmani and Baitarni Basin,CWC,22.2666667,84.6666667,21-02-2025,2025,2,210.31,0.309,0.2438,209.76
MANDIRA DAM,Brahmani and Baitarni Basin,CWC,22.2666667,84.6666667,25-02-2025,2025,2,210.31,0.309,0.242,209.7
MANDIRA DAM,Brahmani and Baitarni Basin,CWC,22.2666667,84.6666667,26-02-2025,2025,2,210.31,0.309,0.2412,209.67
MAUDAHA,Ganga Basin,CWC,25.6,79.7083333,02-02-2025,2025,2,147.8,0.179,0.136,146.51
MAUDAHA,Ganga Basin,CWC,25.6,79.7083333,11-02-2025,2025,2,147.8,0.179,0.131,146.39
MAUDAHA,Ganga Basin,CWC,25.6,79.7083333,15-02-2025,2025,2,147.8,0.179,0.131,146.33
MEJA,Ganga Basin,CWC,24.8533333,82.3997222,02-02-2025,2025,2,178,0.299,0.2249,174.6
MEJA,Ganga Basin,CWC,24.8533333,82.3997222,09-02-2025,2025,2,178,0.299,0.22289,174.5
MEJA,Ganga Basin,CWC,24.8533333,82.3997222,12-02-2025,2025,2,178,0.299,0.22391,174.55
MUSI PROJECT,Krishna Basin,CWC,17.23333333,79.51972222,02-02-2025,2025,2,196.6,0.123,0.084,194.89
Machhu I,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.44546947,70.95697488,01-02-2025,2025,2,135.33,0.071,NA,NA
Machhu I,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.44546947,70.95697488,05-02-2025,2025,2,135.33,0.071,NA,NA
Machhu I,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.44546947,70.95697488,06-02-2025,2025,2,135.33,0.071,0.03619,132.73
Machhu I,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.44546947,70.95697488,07-02-2025,2025,2,135.33,0.071,NA,NA
Machhu I,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.44546947,70.95697488,13-02-2025,2025,2,135.33,0.071,0.03402,132.44
Machhu I,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.44546947,70.95697488,16-02-2025,2025,2,135.33,0.071,NA,NA
Machhu I,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.44546947,70.95697488,19-02-2025,2025,2,135.33,0.071,NA,NA
Machhu I,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.44546947,70.95697488,22-02-2025,2025,2,135.33,0.071,NA,NA
Machhu I,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.44546947,70.95697488,25-02-2025,2025,2,135.33,0.071,NA,NA
Machhu II,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.74131643,70.88602111,10-02-2025,2025,2,57.3,0.091,NA,NA
Machhu II,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.74131643,70.88602111,23-02-2025,2025,2,57.3,0.091,NA,NA
Machhu II,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.74131643,70.88602111,26-02-2025,2025,2,57.3,0.091,NA,NA
Machhu II,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.74131643,70.88602111,27-02-2025,2025,2,57.3,0.091,0.03276,53.86
